IRTT,TTOC,MITR,MATR,NROC,ARP poisoning indicator,"Label: 1(Normal), 1000 (MITM attacking controller), 2000 (MITM attacking router), 500 (MITM  two-way attack)"
0.007873197,0.087233173,0.00423014,0.021259561,6,0,1.0
0.0064875911666666,0.0698519588333333,0.004565825,0.016733651,6,0,1.0
0.0066945002857142,0.0713932605714285,0.0043660781428571,0.020297185,6,0,1.0
0.00768693425,0.0694876095,0.004396911375,0.020747442875,6,0,1.0
0.009987815,0.0628423735,0.004041043875,0.01039897675,6,0,1.0
0.007966057125,0.08734619575,0.00384390525,0.01521309825,6,0,1.0
0.00682305175,0.0817978085,0.00344728375,0.01141063075,6,0,1.0
0.007658782,0.068013943625,0.003908837875,0.00957705825,6,0,1.0
0.0069860295,0.06372406025,0.0037237675,0.018023824375,6,0,1.0
0.005219499625,0.077591784875,0.00334540975,0.008589745,6,0,1.0
0.007062710375,0.05171110925,0.003660457375,0.009891586875,6,0,1.0
0.005852105375,0.062885030375,0.0037375105,0.007683972125,6,0,1.0
0.0049166825,0.060899482375,0.003752045625,0.006614115,6,0,1.0
0.007572501125,0.059123655125,0.004002829,0.00762566875,6,0,1.0
0.00542649225,0.082740211125,0.00356155325,0.0161665115,6,0,1.0
0.005871087,0.069542249125,0.0036597755,0.007805339375,6,0,1.0
0.006797432,0.0909033595,0.0049952425,0.03144633475,6,0,1.0
0.009841484625,0.08410282825,0.003892577375,0.011690654,6,0,1.0
0.008670998125,0.071816165875,0.003787692625,0.019499607125,6,0,1.0
0.007588079375,0.067123908875,0.004360963,0.016968059,6,0,1.0
0.00954113775,0.062059888125,0.0045987452499999,0.010332104125,6,0,1.0
0.008253937,0.066314395,0.003820841875,0.01905428825,6,0,1.0
0.0072777075,0.059826315125,0.00370732025,0.0088509415,6,0,1.0
0.009266919625,0.05839256675,0.004036875125,0.00925442875,6,0,1.0
0.00758401275,0.054453967625,0.003623078,0.008104662875,6,0,1.0
0.00892785925,0.057087957375,0.00393380825,0.008760565125,6,0,1.0
0.008043267125,0.054251718625,0.00348351925,0.008050713,6,0,1.0
0.0086734555,0.061298047625,0.003769686625,0.012113518625,6,0,1.0
0.009361599875,0.062412148875,0.004108066125,0.01486776375,6,0,1.0
0.007135886375,0.046445938625,0.003776591125,0.0083514945,6,0,1.0
0.00943066125,0.05828146625,0.00464451425,0.018512548875,6,0,1.0
0.012369835625,0.05135914775,0.00370742925,0.008324407,6,0,1.0
0.009687893625,0.06053982575,0.003884938375,0.016747579375,6,0,1.0
0.00916159975,0.06409335375,0.00376758025,0.01391327325,6,0,1.0
0.01522802075,0.062473008375,0.003501378125,0.00988982475,6,0,1.0
0.01072660175,0.0547015535,0.00354714575,0.0115854725,6,0,1.0
0.009365022,0.058351714125,0.0036483435,0.01726230125,6,0,1.0
0.009523084875,0.053396484375,0.003534418875,0.009222714,6,0,1.0
0.008963685375,0.050388818,0.003989383875,0.008786383375,6,0,1.0
0.008835476875,0.04389911475,0.00348460625,0.010365790125,6,0,1.0
0.0082706945,0.045646949875,0.0026163655,0.00701410875,6,0,1.0
0.010063362,0.048938334625,0.004159101875,0.006250886125,6,0,1.0
0.0073971395,0.0522642855,0.003367616125,0.00818841075,6,0,1.0
0.009392504125,0.058658691875,0.003614234375,0.015606633,6,0,1.0
0.008319655375,0.050877607375,0.003565880875,0.00746237275,6,0,1.0
0.010159947125,0.05463018225,0.0028897295,0.007880528375,6,0,1.0
0.01434573,0.062858931625,0.004237355625,0.00734915525,6,0,1.0
